barley_straw,maize_stover,rapeseed_straw,rice_straw,sorghum_straw,soybean_straw,sugarcane_tops_and_leaves,wheat_straw,forest_residue,co2_feedstock_fossil,co2_feedstock_biogenic_short,co2_feedstock_biogenic_long,electricity,plastic_production,ghg,bdv,plastics_mechanical_recycling,demand_scenario,ele_share,ele_impact
-0.0,363.3826325146596,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1246.5056015249843,-0.0,-0.0,9903.748630107195,562.8376453460935,164.09293185871536,8620.134143223822,179.26552159921107,2025,100,0.001
-0.0,374.22602437853004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1231.767435133507,-0.0,-0.0,9789.523892166655,562.8376453460935,183.74299897270328,8544.217453681798,179.26552159921107,2025,100,0.003
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,-0.0,-0.0,-0.0,962.0570497585215,-5.551115123125783e-17,-0.0,8680.399353065377,562.8376453460935,201.59739717946644,8158.62959994259,178.96112317932176,2025,100,0.005
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,192.09286890017316,-0.0,-0.0,709.8467883002573,-5.551115123125783e-17,-0.0,7653.1873444622715,562.8376453460935,216.92179359211616,7680.906257024682,178.96112317932176,2025,100,0.007
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,192.09286890017316,-0.0,-0.0,709.8467883002573,-5.551115123125783e-17,-0.0,7653.1873444622715,562.8376453460935,232.22816828104058,7680.906257024682,178.96112317932176,2025,100,0.009
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,192.09286890017316,-0.0,-0.0,710.2626607459708,-5.551115123125783e-17,-0.0,7650.504404183961,562.8376453460935,247.52965699111715,7678.730285132968,178.96112317932176,2025,100,0.011
-0.0,458.64685145356157,-0.0,-0.0,97.54963715382405,120.44586293222649,192.09286890017316,-0.0,-0.0,582.1838849299332,-5.551115123125783e-17,-0.0,7128.860059482344,562.8376453460935,261.8281434962338,7643.840799573224,178.96112317932176,2025,100,0.013
-0.0,458.64685145356157,-0.0,-0.0,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,250.54612412930072,-0.0,-0.0,5729.705088629912,562.8376453460935,275.87795364658336,7265.529398375297,176.0119462350567,2025,100,0.015
-0.0,458.64685145356157,-0.0,-0.0,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,233.80804101317224,-2.220446049250313e-16,-0.0,5538.050187384598,562.8376453460935,287.0635021727014,7108.871786745012,170.3521532813021,2025,100,0.017
-0.0,458.64685145356157,-0.0,178.49582670947518,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-2.220446049250313e-16,-0.0,4583.548035736283,562.8376453460935,297.71057482737183,6699.255472812824,170.3521532813021,2025,100,0.019
-0.0,458.64685145356157,-0.0,185.711906552056,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,4492.552261860667,562.8376453460935,306.85734889911447,6639.660563539316,170.3521532813021,2025,100,0.021
-0.0,458.64685145356157,-0.0,196.93041758556456,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,4401.435077339291,562.8376453460935,315.7147959913804,6588.742797438415,166.3926704665359,2025,100,0.023
-0.0,458.64685145356157,-0.0,196.93041758556456,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,4401.435077339291,562.8376453460935,324.517666146059,6588.742797438415,166.3926704665359,2025,100,0.025
-0.0,458.64685145356157,-0.0,201.17046684866773,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,4372.562502362625,562.8376453460935,333.2862608087619,6574.028982539052,164.19813437692034,2025,100,0.027
-0.0,458.64685145356157,-0.0,201.17046684866773,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,4372.562502362625,562.8376453460935,342.03138581348713,6574.028982539052,164.19813437692034,2025,100,0.029
-0.0,458.64685145356157,-0.0,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,3053.3935906059455,562.8376453460935,350.5939887205156,5937.8920265217885,156.93553518159183,2025,100,0.031
-0.0,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2848.885804597568,562.8376453460935,356.52279905978764,5836.862950555575,156.93553518159183,2025,100,0.033
-0.0,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2848.88580459757,562.8376453460935,362.2205706689829,5836.862950555576,156.93553518159183,2025,100,0.035
-0.0,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2848.88580459757,562.8376453460935,367.918342278178,5836.862950555576,156.93553518159183,2025,100,0.037
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2552.543823990283,562.8376453460935,373.5863003321193,5738.367891635724,156.93553518159183,2025,100,0.039
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2552.543823990283,562.8376453460935,378.69138798009993,5738.367891635724,156.93553518159183,2025,100,0.041
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,383.73853835177874,5685.514013484052,156.93553518159183,2025,100,0.043
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,388.71365945439516,5685.514013484052,156.93553518159183,2025,100,0.045
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,393.6887805570115,5685.514013484052,156.93553518159183,2025,100,0.047
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,398.6639016596278,5685.514013484052,156.93553518159183,2025,100,0.049
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,403.6390227622442,5685.514013484052,156.93553518159183,2025,100,0.051
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,408.6141438648606,5685.514013484052,156.93553518159183,2025,100,0.053
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,413.5892649674769,5685.514013484052,156.93553518159183,2025,100,0.055
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,418.5643860700933,5685.514013484052,156.93553518159183,2025,100,0.057
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,423.5395071727097,5685.514013484052,156.93553518159183,2025,100,0.059
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,-0.0,-0.5498473423865333,-0.0,-0.0,2487.560551308184,562.8376453460935,428.514628275326,5685.514013484052,156.93553518159183,2025,100,0.061
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918953,562.8376453460935,433.4403725010737,5691.235997057972,156.93553518159183,2025,100,0.063
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918935,562.8376453460935,438.36340242125715,5691.235997057971,156.93553518159183,2025,100,0.065
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918935,562.8376453460935,443.28643234144107,5691.235997057971,156.93553518159183,2025,100,0.067
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918935,562.8376453460935,448.20946226162465,5691.235997057971,156.93553518159183,2025,100,0.069
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918935,562.8376453460935,453.1324921818086,5691.235997057971,156.93553518159183,2025,100,0.071
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918935,562.8376453460935,458.05552210199227,5691.235997057971,156.93553518159183,2025,100,0.073
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918935,562.8376453460935,462.9785520221762,5691.235997057971,156.93553518159183,2025,100,0.075
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,4.675455435760068,-0.5498473423865333,-0.0,-0.0,2461.5149600918935,562.8376453460935,467.9015819423598,5691.235997057971,156.93553518159183,2025,100,0.077
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.21287518812187,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,470.89998235649216,6120.695234289283,156.93553518159183,2025,100,0.079
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.21287518812227,-0.5498473423865333,-0.0,-84.79514302321246,624.1673945639271,562.8376453460935,472.1483171456202,6120.6952342892855,156.93553518159183,2025,100,0.081
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.21287518812227,-0.5498473423865333,-0.0,-84.79514302321246,624.1673945639271,562.8376453460935,473.39665193474804,6120.6952342892855,156.93553518159183,2025,100,0.083
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.21287518812187,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,474.6449867238757,6120.695234289283,156.93553518159183,2025,100,0.085
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.21287518812227,-0.5498473423865333,-0.0,-84.79514302321246,624.1673945639271,562.8376453460935,475.89332151300385,6120.6952342892855,156.93553518159183,2025,100,0.087
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.21287518812227,-0.5498473423865333,-0.0,-84.79514302321246,624.1673945639271,562.8376453460935,477.14165630213165,6120.6952342892855,156.93553518159183,2025,100,0.089
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.2128751881218,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,478.3899910912594,6120.695234289283,156.93553518159183,2025,100,0.091
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.2128751881218,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,479.63832588038713,6120.695234289283,156.93553518159183,2025,100,0.093
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.2128751881218,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,480.88666066951504,6120.695234289283,156.93553518159183,2025,100,0.095
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.2128751881218,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,482.1349954586429,6120.695234289283,156.93553518159183,2025,100,0.097
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.2128751881218,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,483.3833302477707,6120.695234289283,156.93553518159183,2025,100,0.099
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.2128751881218,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,484.6316650368985,6120.695234289283,156.93553518159183,2025,100,0.101
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,338.2128751881218,-0.5498473423865333,-0.0,-84.79514302321235,624.1673945639271,562.8376453460935,485.87999982602656,6120.695234289283,156.93553518159183,2025,100,0.103
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,487.06996868016455,6184.165065737105,154.69715417049076,2025,100,0.105
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,488.10217992309424,6184.165065737105,154.69715417049076,2025,100,0.107
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,489.13439116602393,6184.165065737105,154.69715417049076,2025,100,0.109
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,490.16660240895357,6184.165065737105,154.69715417049076,2025,100,0.111
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,491.19881365188326,6184.165065737105,154.69715417049076,2025,100,0.113
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,492.23102489481295,6184.165065737105,154.69715417049076,2025,100,0.115
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,493.26323613774264,6184.165065737105,154.69715417049076,2025,100,0.117
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,494.29544738067233,6184.165065737105,154.69715417049076,2025,100,0.119
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,495.3276586236021,6184.165065737105,154.69715417049076,2025,100,0.121
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,496.35986986653177,6184.165065737105,154.69715417049076,2025,100,0.123
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,497.39208110946134,6184.165065737105,154.69715417049076,2025,100,0.125
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,498.4242923523912,6184.165065737105,154.69715417049076,2025,100,0.127
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,499.45650359532095,6184.165065737105,154.69715417049076,2025,100,0.129
53.196478151271364,458.64685145356157,36.71128183683346,413.66574839897555,97.54963715382405,120.44586293222649,192.09286890017316,254.1575917525405,364.4390742658606,-0.5498473423865333,-0.0,-91.46262370170179,516.1056214648439,562.8376453460935,500.4887148382505,6184.165065737105,154.69715417049076,2025,100,0.131
